Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Carbon Emissions (Million Tons)
Russia,2000,7631.99,32496.46,66.41583264353976,33.58416735646023,2375.45
USA,2019,8522.73,15002.5,31.097674418604647,68.90232558139535,2659.87
Australia,2010,2644.36,24972.64,29.73,17.13,1696.42
Russia,2011,4130.21,2575.82,17.41,56.8,4922.15
Brazil,2013,5035.84,10026.06,31.415507715755385,68.58449228424462,3700.07
Germany,2024,5379.94,21512.57,36.46,30.51,1279.73
China,2007,6628.95,41785.2,68.6,19.5,1220.99
Australia,2010,511.87,24243.53,65.19900497512438,34.800995024875625,3882.16
Australia,2003,7242.62,29524.94,46.97447859495061,53.02552140504939,1970.65
USA,2006,713.51,43750.81,52.45428296438883,47.54571703561116,502.98
Japan,2009,4736.06,15786.54,55.9993609202748,44.0006390797252,226.22
Australia,2018,8293.94,35184.62,54.311588395576216,45.68841160442378,2099.08
India,2024,4567.03,43152.53,45.44,12.78,2102.8
Germany,2003,1575.99,10529.48,33.55,41.2,3548.94
Germany,2001,9851.84,18145.67,29.04,15.43,2895.12
India,2020,8903.93,49000.6,62.75,32.11,3862.09
UK,2017,7736.0,49169.32,56.17656604998377,43.82343395001623,1622.87
India,2013,4173.96,11549.88,49.297561859874925,50.70243814012508,3140.04
India,2015,1920.07,3789.07,50.884437596302,49.11556240369799,4434.23
Germany,2021,9419.97,13910.62,6.21,22.05,392.97
Canada,2010,5370.28,20187.73,65.74510514865845,34.254894851341554,3556.83
Germany,2009,8538.32,22329.78,53.775220134507386,46.22477986549261,3593.62
Japan,2016,3486.74,31130.91,58.63,25.1,3980.45
USA,2013,3419.35,45025.39,80.2586534804108,19.7413465195892,1381.78
Russia,2021,9856.85,16852.23,55.14,39.93,2111.78
Canada,2003,5266.15,42574.23,25.45,36.86,1236.56
China,2018,1492.88,5127.21,22.89357528200098,77.106424717999,1577.48
Russia,2001,2274.78,2572.8,52.25,41.94,4844.12
USA,2006,4871.25,25450.24,53.866859243697476,46.133140756302524,2255.99
Japan,2008,520.46,3453.28,11.15,72.16,4250.33
Japan,2018,4679.09,19928.25,56.37,21.05,3984.66
China,2015,4247.51,44890.52,53.96934865900384,46.030651340996165,2250.4
Canada,2021,7815.43,12453.41,14.81,29.43,4961.29
UK,2024,3613.93,35445.8,14.93,16.63,4211.86
India,2015,9827.23,15467.09,33.6469492314858,66.35305076851421,2439.34
Canada,2017,1889.62,2723.54,28.28,30.47,1583.04
UK,2022,5950.77,28056.18,21.86,34.18,422.71
Japan,2020,988.02,41825.25,21.89,32.68,2350.76
Germany,2020,7365.25,20768.69,16.11,24.02,1832.05
USA,2010,9948.06,31056.04,56.92,40.42,3571.32
China,2006,8209.47,45051.17,61.36078090267711,38.63921909732289,147.41
USA,2008,5601.47,39589.88,62.64512383900929,37.35487616099071,4165.67
Brazil,2003,4898.94,10096.88,40.39713803360399,59.60286196639601,2112.31
Brazil,2024,8366.8,36802.51,71.79829687760895,28.20170312239105,2375.18
Canada,2012,9366.14,25343.7,79.85,12.13,954.81
Japan,2024,9893.14,37425.36,79.34612912113143,20.65387087886858,4690.54
Japan,2003,4025.74,24978.52,38.05,60.5,2022.02
India,2018,9910.08,6833.93,60.78491257539894,39.21508742460105,4221.49
India,2001,1643.67,28710.52,47.68537484637444,52.31462515362556,1225.39
India,2008,2610.14,24860.63,33.9,58.61,528.45
Germany,2011,981.26,26137.13,14.06,23.6,3197.02
Russia,2001,2790.21,44005.67,63.02,18.45,4922.86
Australia,2005,7702.58,44794.43,16.6,46.45,3252.36
Russia,2004,8543.95,22950.09,29.97,56.57,3063.13
USA,2004,7811.04,23058.74,47.53,21.59,2239.04
Russia,2019,6347.55,26001.75,54.64276390218432,45.35723609781568,1454.82
Germany,2021,5188.27,26219.67,54.27145449831475,45.72854550168525,2182.62
USA,2004,7116.17,47544.16,47.636644895152976,52.36335510484703,787.34
Russia,2003,3969.25,32645.32,52.35323886639676,47.64676113360324,1346.44
Germany,2008,8428.95,14234.12,31.35,65.25,2462.56
Australia,2021,6804.18,26811.07,63.42,17.29,766.74
Russia,2009,7008.27,31547.57,42.21,24.27,3968.08
Germany,2015,5405.77,32168.7,77.84,12.67,107.23
India,2009,8863.77,29470.08,38.36,20.15,1641.89
Japan,2009,2594.95,9297.94,37.73584905660377,62.264150943396224,2607.42
India,2018,3873.36,2162.86,41.77,25.55,4648.29
Japan,2009,7798.66,17223.23,56.75364543361473,43.246354566385264,2888.59
China,2005,4978.21,21662.35,59.5694607877068,40.430539212293205,1509.77
China,2016,8903.22,3559.31,32.82,55.17,1793.34
China,2004,3529.35,40840.88,45.38,48.77,1728.84
Australia,2005,3756.37,17531.83,59.61661927909749,40.38338072090251,942.83
India,2023,8898.48,45724.82,67.31120331950208,32.68879668049793,767.0
Japan,2014,4697.27,8143.3,38.76506521380221,61.23493478619778,2429.15
Germany,2024,5209.63,3318.28,14.26,10.67,1387.79
USA,2018,3394.36,24374.65,36.34,13.74,504.62
Germany,2017,2839.03,9861.9,51.78,44.48,1121.57
USA,2003,6593.89,46901.26,40.49,33.14,2627.59
Brazil,2007,1286.42,1010.02,20.86,38.58,1321.62
Germany,2015,8804.8,20924.67,8.14,79.85,1226.82
Russia,2023,7814.11,46374.01,49.67499412639987,50.32500587360013,3122.25
Russia,2018,1988.41,19528.7,55.58457711442786,44.41542288557213,3462.61
Canada,2019,6970.8,5108.91,69.8982594803666,30.101740519633395,1244.17
India,2002,6066.07,15493.3,63.08,26.77,2387.1
USA,2009,1926.9,25151.51,54.55128662057168,45.44871337942833,3834.61
USA,2001,2804.71,9665.01,26.74,66.53,3465.03
India,2003,4148.97,23594.8,54.42669172932331,45.57330827067669,392.99
Australia,2005,7022.5,41898.99,10.15,72.72,1832.35
Canada,2010,6423.36,43694.59,45.58885310180647,54.41114689819353,3630.21
Australia,2013,5369.12,2938.41,67.05007284717429,32.9499271528257,938.22
Australia,2015,7707.26,8464.72,75.3373168851195,24.66268311488049,1019.84
Australia,2020,7603.58,14126.86,50.43,46.2,3169.35
India,2018,6216.81,29945.86,47.61086511136078,52.38913488863921,1454.57
Australia,2001,7891.2,18369.24,73.64555430743974,26.35444569256027,1652.56
Russia,2024,3409.21,42280.03,23.36,53.23,2637.94
China,2016,8824.37,35975.26,55.28585604152355,44.71414395847645,3765.37
Brazil,2008,6187.61,5472.57,27.94,24.98,2516.53
USA,2016,8241.4,31415.6,60.84295876998394,39.157041230016056,4472.46
USA,2014,5508.16,6094.12,13.36,32.02,577.87
Brazil,2006,2262.54,13124.27,20.15,69.79,3783.04
India,2021,5469.86,9304.6,52.4627811213177,47.53721887868229,2741.01
Germany,2022,3774.01,9066.57,19.86,67.84,4092.6
India,2018,7005.24,31011.58,18.43,23.98,1616.2
USA,2002,4810.36,28398.44,52.21,12.42,2436.4
USA,2000,8377.52,9213.39,52.20947013950932,47.790529860490686,4126.81
Brazil,2003,6812.92,49513.55,27.82,37.07,4167.32
Australia,2017,6876.99,21380.92,76.5,22.58,1911.15
India,2007,2249.84,5304.93,73.68,16.43,4119.87
Japan,2018,9844.07,6468.17,54.01474397290297,45.98525602709703,3427.87
Brazil,2022,8432.58,29402.74,59.96,20.51,2076.68
Russia,2022,7911.15,48963.94,8.44,49.67,4850.04
USA,2024,3369.13,28811.58,36.21,60.91,202.93
Brazil,2005,5402.75,47477.55,27.39,47.45,1944.18
India,2000,1457.32,22484.58,17.75,73.26,1569.42
USA,2007,5430.91,22074.13,38.12,20.89,4682.01
Germany,2000,1544.3,25250.36,35.17,44.58,542.29
Brazil,2018,5575.07,35022.56,66.96,21.42,3158.72
Canada,2010,6522.35,18696.99,43.91663389697208,56.08336610302792,3597.31
USA,2020,3962.94,43262.36,52.327864698802806,47.67213530119719,961.67
India,2023,5035.59,1949.43,17.36,38.0,792.24
China,2024,8768.97,22268.33,10.08,31.4,286.77
Japan,2014,1174.78,25794.1,50.44,29.55,836.43
UK,2022,7938.16,30548.1,5.09,70.18,4050.66
Australia,2024,1790.47,14165.56,55.46905110614352,44.53094889385648,4722.58
UK,2010,463.41,21660.26,40.125365649811954,59.874634350188046,4512.04
India,2018,1937.19,24484.62,46.49,18.23,1858.26
Russia,2020,7673.93,34502.04,35.81,43.32,3643.08
Russia,2009,4110.75,38790.44,36.87,57.33,4143.87
China,2023,8737.95,37022.45,36.3914373088685,63.608562691131496,4071.8
Australia,2011,5294.6,17408.36,6.36,36.74,360.29
Canada,2000,320.28,49972.8,12.1,31.92,1113.41
China,2023,7195.46,42508.93,39.33847669074196,60.66152330925804,4697.78
UK,2006,1191.31,13371.16,17.76,13.33,3712.54
China,2016,7914.86,10157.74,62.03380968978737,37.96619031021263,4180.04
UK,2009,1764.22,16044.05,28.33,42.1,2594.91
USA,2005,3519.92,22891.07,13.32,20.22,1995.63
Russia,2016,7636.59,42614.57,24.99,37.65,3273.56
USA,2017,9546.89,39028.93,35.35,60.58,2390.64
Japan,2004,3777.2,42636.68,8.0,35.68,1900.12
Australia,2017,8311.06,13961.88,17.04,31.68,1771.98
Canada,2016,1988.84,29876.33,32.53,64.73,831.64
UK,2021,8091.08,14520.83,28.38155515370705,71.61844484629295,2670.6
Canada,2015,6609.19,5896.65,53.08184329117604,46.91815670882396,2623.24
UK,2007,2008.16,34367.79,52.54934210526315,47.45065789473683,2974.31
India,2023,3094.79,7578.38,21.44,75.77,625.31
China,2012,1404.53,33551.04,15.53,66.12,4578.87
Japan,2023,3891.37,32574.23,42.83013379872018,57.16986620127982,3723.18
Russia,2015,2116.12,40607.3,54.082535003684605,45.9174649963154,698.27
UK,2010,6475.58,7407.95,60.685610556447664,39.31438944355233,442.75
Canada,2005,9945.6,39282.27,5.58,58.53,3232.46
Japan,2002,218.89,49964.19,35.48643633471768,64.51356366528232,1740.44
Germany,2000,5455.11,42626.6,53.8258785942492,46.1741214057508,1629.29
Germany,2017,5779.3,37714.7,54.37964097757912,45.62035902242088,4207.96
USA,2004,9150.67,33277.19,10.29,25.12,1758.46
Russia,2012,5109.45,21378.18,45.96314172882843,54.03685827117156,3179.3
India,2009,5482.64,36659.76,29.56,41.3,2708.52
Canada,2004,4769.36,36346.81,11.34,21.27,1351.69
China,2013,2762.15,31759.16,41.37348969438522,58.62651030561478,1691.62
China,2016,654.69,39915.78,18.44,34.95,4718.8
Canada,2000,4145.71,22713.81,67.65,22.89,1690.3
Australia,2024,620.66,6502.01,68.01,27.94,3930.82
India,2001,5549.88,28173.85,76.58,12.45,4313.31
Japan,2006,3142.21,13619.65,37.09,16.34,401.64
UK,2009,5382.66,19529.44,6.13,51.48,3332.37
Australia,2019,1429.54,1362.04,27.08,70.64,3758.84
UK,2006,9333.04,19448.13,44.76,41.4,2198.41
UK,2023,8955.76,40535.65,54.316271963330784,45.683728036669216,2868.16
Australia,2015,1980.97,27364.76,35.97695631301008,64.02304368698992,850.94
USA,2004,3500.1,985.13,50.56,34.97,1626.56
Germany,2011,6173.58,23757.27,47.03872437357632,52.961275626423685,3552.95
UK,2016,1047.29,14926.86,19.02,34.53,3032.73
Australia,2015,3610.22,24138.76,51.31474103585657,48.68525896414342,725.11
Australia,2019,2586.01,20532.29,42.34,25.23,4940.84
Brazil,2015,9163.62,46632.97,48.428871943202736,51.571128056797264,4692.06
USA,2018,8539.86,2538.28,63.7,15.33,1159.38
Russia,2014,5840.34,34337.61,14.47,45.37,4381.85
Brazil,2011,5251.43,42625.82,46.54,30.04,1372.49
Brazil,2020,9314.19,47982.31,55.416630983985605,44.58336901601439,2840.51
Canada,2009,9331.04,9292.99,12.4,39.98,3921.15
Germany,2021,9696.37,26799.59,69.69084079745738,30.309159202542617,1753.2
Australia,2001,1341.25,2657.68,23.87,27.5,2797.98
Germany,2006,1689.52,25209.58,47.76,22.77,2279.25
India,2012,6799.69,6710.18,56.72787979966611,43.27212020033389,3812.98
Canada,2002,5460.2,41975.89,53.56,25.55,2419.44
Russia,2014,282.81,6136.57,39.01511550527616,60.98488449472384,2856.21
Germany,2000,713.55,25907.77,5.58,43.95,4235.51
China,2002,8892.0,26294.26,16.34,15.06,3508.3
UK,2024,8701.82,48596.7,54.19,21.58,2661.14
India,2009,3636.98,32921.54,39.32038834951456,60.67961165048544,2333.39
USA,2014,8921.4,14748.09,35.93,52.2,677.49
Russia,2021,5977.38,12419.57,78.47137350756792,21.528626492432075,329.01
India,2005,8078.47,6848.29,33.26,59.26,4766.24
UK,2019,4331.57,37947.48,42.8269507143461,57.173049285653896,973.31
Canada,2014,1222.64,34692.45,53.34,33.15,1420.51
UK,2023,4393.9,30688.92,49.83,48.96,3074.2
Brazil,2020,4627.27,2521.6,45.59,30.54,4148.23
UK,2006,5554.35,38260.03,33.65,15.6,4174.05
Brazil,2024,1145.27,32273.44,68.41360951667914,31.58639048332086,4156.75
Canada,2020,9914.88,48212.5,40.8987915407855,59.1012084592145,4891.54
Japan,2004,2516.95,29566.51,49.92,42.11,325.73
Brazil,2003,2065.67,15545.62,60.8,38.37,2029.25
USA,2021,5315.35,19385.27,10.75,35.62,4572.26
UK,2017,5418.36,9204.11,62.89967409495287,37.10032590504712,2363.32
UK,2002,4454.23,36284.25,48.56,32.28,4362.92
USA,2016,7741.73,35532.22,53.52211766775129,46.4778823322487,137.4
China,2017,5214.88,10432.18,70.62,14.45,2546.62
Australia,2017,6135.99,8345.22,54.382114936222735,45.61788506377726,4616.14
Japan,2023,7265.09,4311.74,38.34,22.12,1343.35
Russia,2023,347.75,45642.8,57.64944275582573,42.35055724417427,4651.81
Brazil,2001,5749.38,12036.96,27.0,41.49,91.96
USA,2012,8853.53,17536.09,48.79859503472499,51.201404965275,440.69
Canada,2021,272.15,14384.97,13.73,67.83,2410.28
Brazil,2014,4111.3,20974.42,6.7,24.29,576.58
Australia,2004,9269.65,35845.42,13.14,57.4,1166.71
Canada,2002,3596.23,43594.48,32.15,23.29,1522.75
India,2004,4641.42,9538.64,7.64,18.68,2433.41
UK,2004,9817.26,34477.41,43.81871213820956,56.18128786179044,1983.04
India,2004,2073.31,17951.83,31.91,21.51,4614.63
Brazil,2002,746.03,49036.09,67.59,25.97,4435.77
Australia,2002,8608.28,15296.5,8.9,19.12,3752.95
Japan,2019,8697.81,856.05,23.42,42.92,3313.58
Brazil,2022,4773.57,26024.18,34.791758000876804,65.20824199912319,1061.49
USA,2017,5190.65,7961.19,37.53,28.48,3029.04
Germany,2019,8374.48,2702.47,16.13,47.93,777.96
Brazil,2003,7411.74,35064.33,69.75837879968823,30.24162120031176,2290.96
UK,2000,2724.98,36746.83,29.18,33.52,2334.54
UK,2015,267.24,23304.6,56.979542719614926,43.020457280385074,3464.06
Brazil,2007,4849.03,34005.83,23.7,49.12,4183.88
Canada,2016,8603.23,27142.85,69.3674856246733,30.632514375326707,1636.49
Germany,2007,8968.76,31675.15,35.311627906976746,64.68837209302326,253.85
USA,2006,9566.64,30036.85,81.58,13.72,282.5
Brazil,2024,8807.68,33458.23,34.06,15.97,4380.38
Canada,2007,5842.43,10381.72,5.73,79.35,2457.31
UK,2020,4501.6,13800.98,43.98418546140713,56.01581453859287,1277.66
UK,2023,7771.01,22278.18,42.80783501596341,57.19216498403659,209.82
Australia,2011,7424.23,22583.34,15.19,52.19,2667.38
Brazil,2015,5427.62,38833.38,24.97,39.39,728.62
Germany,2011,964.54,18685.99,56.983684838838045,43.01631516116196,2114.29
